Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
All Students,2018,4 year August,70912,59374,83.7,59110,83.4,99.6,24715,34.9,41.6,34395,48.5,57.9,264,0.4,0.4,6808,9.6,3831,5.4,322,0.5,547,0.8
All Students,2017,4 year August,72663,60055,82.6,59683,82.1,99.4,26735,36.8,44.5,32948,45.3,54.9,372,0.5,0.6,8225,11.3,3545,4.9,227,0.3,566,0.8
All Students,2016,4 year August,73565,58704,79.8,57734,78.5,98.3,22657,30.8,38.6,35077,47.7,59.8,970,1.3,1.7,9385,12.8,4338,5.9,269,0.4,852,1.2
All Students,2015,4 year August,73772,57035,77.3,51848,70.3,90.9,15604,21.2,27.4,36244,49.1,63.5,5187,7.0,9.1,9979,13.5,5745,7.8,317,0.4,692,0.9
All Students,2014,4 year August,74948,56923,75.9,52159,69.6,91.6,15658,20.9,27.5,36501,48.7,64.1,4764,6.4,8.4,11398,15.2,5614,7.5,351,0.5,653,0.9
All Students,2013,4 year August,73154,54324,74.3,50271,68.7,92.5,14759,20.2,27.2,35512,48.5,65.4,4053,5.5,7.5,11991,16.4,5734,7.8,428,0.6,569,0.8
All Students,2012,4 year August,74172,54161,73.0,50580,68.2,93.4,13809,18.6,25.5,36771,49.6,67.9,3581,4.8,6.6,12603,17.0,6270,8.5,467,0.6,482,0.6
All Students,2018,4 year June,70912,57731,81.4,57503,81.1,99.6,24549,34.6,42.5,32954,46.5,57.1,228,0.3,0.4,8426,11.9,3856,5.4,322,0.5,547,0.8
All Students,2017,4 year June,72663,58062,79.9,57724,79.4,99.4,26442,36.4,45.5,31282,43.1,53.9,338,0.5,0.6,10197,14.0,3565,4.9,228,0.3,566,0.8
All Students,2016,4 year June,73565,57322,77.9,56403,76.7,98.4,22563,30.7,39.4,33840,46.0,59.0,919,1.2,1.6,10737,14.6,4368,5.9,269,0.4,852,1.2
All Students,2015,4 year June,73772,54493,73.9,49950,67.7,91.7,15518,21.0,28.5,34432,46.7,63.2,4543,6.2,8.3,12474,16.9,5790,7.8,319,0.4,692,0.9
All Students,2014,4 year June,74948,54470,72.7,50339,67.2,92.4,15582,20.8,28.6,34757,46.4,63.8,4131,5.5,7.6,13845,18.5,5614,7.5,357,0.5,653,0.9
