Urban Area,2019 Median Contract Rent,2019 Median Gross Rent,2019 Median Home Value,2019 Median Monthly Owner Costs,2020 Median Contract Rent,2020 Median Gross Rent,2020 Median Home Value,2020 Median Monthly Owner Costs,2021 Median Contract Rent,2021 Median Gross Rent,2021 Median Home Value,2021 Median Monthly Owner Costs
"Trenton, NJ",1047.0,1201.0,249900.0,2104.0,1080.0,1240.0,254100.0,2110.0,1135.0,1303.0,260600.0,2180.0
"Tucson, AZ",753.0,896.0,182500.0,1303.0,773.0,921.0,197000.0,1331.0,814.0,967.0,214300.0,1393.0
"Stockton, CA",917.0,1115.0,272300.0,1677.0,967.0,1172.0,298300.0,1730.0,1061.0,1272.0,325500.0,1846.0
"Sumter, SC",589.0,816.0,125500.0,1076.0,604.0,831.0,127500.0,1099.0,653.0,893.0,136900.0,1174.0
"Turlock, CA",941.0,1115.0,292900.0,1666.0,966.0,1151.0,313300.0,1642.0,1051.0,1214.0,328500.0,1720.0
"Tuscaloosa, AL",659.0,846.0,173600.0,1235.0,678.0,862.0,181300.0,1292.0,713.0,907.0,187000.0,1343.0
"Twin Rivers--Hightstown, NJ",1421.0,1523.0,445600.0,3026.0,1450.0,1595.0,450800.0,3107.0,1469.0,1656.0,448200.0,3203.0
"Tyler, TX",775.0,932.0,153800.0,1345.0,799.0,949.0,158000.0,1342.0,848.0,1023.0,164300.0,1391.0
"Urban Honolulu, HI",1553.0,1703.0,649400.0,2556.0,1597.0,1738.0,671000.0,2596.0,1675.0,1828.0,693000.0,2736.0
"Utica, NY",628.0,761.0,123400.0,1212.0,645.0,778.0,129600.0,1249.0,677.0,814.0,132500.0,1300.0
"Vacaville, CA",1484.0,1644.0,421000.0,2257.0,1579.0,1751.0,445700.0,2311.0,1710.0,1937.0,471800.0,2463.0
"Weirton--Steubenville, WV",474.0,678.0,90300.0,948.0,470.0,652.0,92900.0,940.0,486.0,663.0,95700.0,979.0
"Wenatchee, WA",878.0,952.0,276200.0,1514.0,930.0,985.0,288400.0,1494.0,987.0,1089.0,314500.0,1592.0
"West Bend, WI",730.0,863.0,192400.0,1485.0,748.0,878.0,201800.0,1503.0,778.0,924.0,213800.0,1546.0
"Vallejo, CA",1409.0,1586.0,416400.0,2160.0,1513.0,1683.0,446500.0,2228.0,1616.0,1754.0,474100.0,2360.0
"Victoria, TX",749.0,925.0,135600.0,1383.0,788.0,958.0,143200.0,1362.0,812.0,992.0,152000.0,1449.0
"Victorville--Hesperia, CA",989.0,1200.0,234300.0,1491.0,1011.0,1216.0,250000.0,1522.0,1061.0,1277.0,272800.0,1615.0
"Vineland, NJ",862.0,1035.0,165400.0,1647.0,874.0,1058.0,168200.0,1672.0,911.0,1112.0,170900.0,1737.0
"Virginia Beach, VA",991.0,1185.0,240100.0,1701.0,1004.0,1192.0,247500.0,1712.0,1051.0,1233.0,254500.0,1762.0
"Visalia, CA",831.0,1010.0,220000.0,1483.0,877.0,1063.0,237000.0,1546.0,929.0,1125.0,252700.0,1636.0
"Westminster--Eldersburg, MD",1037.0,1167.0,345500.0,2106.0,1093.0,1221.0,348100.0,2100.0,1191.0,1366.0,360900.0,2144.0
"Wheeling, WV",486.0,631.0,95900.0,906.0,499.0,640.0,100800.0,931.0,545.0,690.0,107300.0,978.0
"Valdosta, GA",615.0,794.0,131900.0,1183.0,623.0,809.0,136200.0,1172.0,667.0,844.0,142000.0,1183.0
"Wausau, WI",647.0,755.0,138900.0,1164.0,676.0,784.0,141600.0,1170.0,710.0,830.0,152100.0,1233.0
"Washington, DC",1601.0,1725.0,455000.0,2470.0,1640.0,1753.0,467000.0,2503.0,1705.0,1818.0,482200.0,2600.0
"Waterbury, CT",832.0,997.0,179100.0,1774.0,838.0,1020.0,175900.0,1761.0,868.0,1075.0,183300.0,1805.0
"Waterloo, IA",652.0,802.0,140100.0,1152.0,666.0,819.0,140100.0,1145.0,688.0,845.0,144900.0,1212.0
