Urban Area,2019-21 Contract Rent Change,2019-21 Gross Rent Change,2019-21 Home Value Change,2019-21 Mo Owner Cost Change,Gross Rent Change - Mo Ownwer Cost Change
"Trenton, NJ",8.404966571155683,8.49292256452956,4.281712685074029,3.612167300380228,4.880755264149331
"Tucson, AZ",8.100929614873838,7.924107142857143,17.424657534246574,6.907137375287798,1.0169697675693454
"Stockton, CA",15.703380588876772,14.080717488789238,19.53727506426735,10.077519379844961,4.003198108944277
"Sumter, SC",10.865874363327674,9.436274509803921,9.08366533864542,9.107806691449815,0.3284678183541061
"Turlock, CA",11.689691817215728,8.878923766816143,12.154318880163878,3.241296518607443,5.6376272482087
"Tuscaloosa, AL",8.19423368740516,7.210401891252955,7.71889400921659,8.744939271255062,-1.5345373800021065
"Twin Rivers--Hightstown, NJ",3.377902885292048,8.732764281024295,0.5834829443447038,5.849306014540648,2.883458266483647
"Tyler, TX",9.419354838709678,9.763948497854077,6.82704811443433,3.420074349442379,6.3438741484116985
"Urban Honolulu, HI",7.855763039278815,7.33998825601879,6.713889744379427,7.042253521126761,0.2977347348920292
"Utica, NY",7.802547770700637,6.964520367936925,7.374392220421393,7.260726072607261,-0.2962057046703359
"Vacaville, CA",15.22911051212938,17.822384428223845,12.066508313539192,9.127159946832078,8.695224481391767
"Weirton--Steubenville, WV",2.5316455696202533,-2.2123893805309733,5.980066445182724,3.270042194092827,-5.4824315746238
"Wenatchee, WA",12.414578587699317,14.390756302521009,13.86676321506155,5.1519154557463676,9.238840846774641
"West Bend, WI",6.575342465753424,7.068366164542295,11.122661122661123,4.107744107744108,2.9606220567981865
"Vallejo, CA",14.691270404542228,10.592686002522068,13.856868395773295,9.25925925925926,1.3334267432628089
"Victoria, TX",8.411214953271028,7.243243243243243,12.094395280235988,4.772234273318872,2.4710089699243714
"Victorville--Hesperia, CA",7.280080889787664,6.416666666666667,16.431924882629108,8.316566063044936,-1.8998993963782693
"Vineland, NJ",5.684454756380511,7.4396135265700485,3.3252720677146312,5.46448087431694,1.9751326522531087
"Virginia Beach, VA",6.054490413723512,4.050632911392405,5.99750104123282,3.5861258083480307,0.4645071030443746
"Visalia, CA",11.793020457280385,11.386138613861386,14.863636363636363,10.316925151719488,1.0692134621418976
"Westminster--Eldersburg, MD",14.85053037608486,17.052270779777206,4.457308248914616,1.8043684710351378,15.247902308742068
"Wheeling, WV",12.139917695473251,9.350237717908083,11.887382690302399,7.947019867549669,1.4032178503584145
"Valdosta, GA",8.455284552845528,6.297229219143577,7.657316148597422,0.0,6.297229219143577
"Wausau, WI",9.737248840803709,9.933774834437086,9.503239740820735,5.927835051546392,4.005939782890694
"Washington, DC",6.4959400374765774,5.391304347826087,5.978021978021978,5.2631578947368425,0.12814645308924444
"Waterbury, CT",4.326923076923077,7.823470411233701,2.3450586264656614,1.7474633596392333,6.076007051594468
"Waterloo, IA",5.521472392638037,5.361596009975062,3.4261241970021414,5.208333333333333,0.1532626766417291
"Watsonville, CA",15.909090909090908,13.764044943820224,18.358486665288403,10.669077757685352,3.0949671861348715
"Prescott Valley--Prescott, AZ",11.685116851168512,11.825726141078839,19.171779141104295,7.612712490761271,4.213013650317568
"Santa Rosa, CA",14.989871708305198,13.82716049382716,9.889718961223764,11.09699279966116,2.730167694165999
"Shreveport, LA",4.354354354354355,5.363528009535161,3.5256410256410255,6.151288445552785,-0.7877604360176242
"Sheboygan, WI",9.609120521172638,8.0,11.665443873807776,5.061082024432809,2.9389179755671906
"Sarasota--Bradenton, FL",13.092979127134726,12.301255230125523,11.808422791081751,6.930693069306931,5.370562160818593
"Saratoga Springs, NY",10.372340425531915,8.692185007974482,4.645300684191573,1.088139281828074,7.604045726146408
"Savannah, GA",8.803611738148984,7.529843893480257,10.10264721772015,4.564315352697095,2.965528540783162
"Spring Hill, FL",9.828009828009828,8.316633266533065,20.395201129146084,10.783410138248849,-2.4667768717157834
"State College, PA",5.070993914807302,3.8104089219330857,11.871657754010695,8.055555555555555,-4.24514663362247
"Waco, TX",7.920792079207921,8.449074074074074,16.70345842531273,8.0,0.4490740740740744
"Waldorf, MD",10.511756569847856,2.930622009569378,10.091432441584828,3.0388031790556336,-0.10818116948625578
"Warner Robins, GA",7.967032967032967,6.775956284153006,11.86196980589504,5.2631578947368425,1.5127983894161634
"Syracuse, NY",7.5,6.57439446366782,6.18705035971223,5.003679175864606,1.570715287803214
"Tallahassee, FL",6.159420289855072,4.373177842565598,8.451392281387395,3.4698126301179735,0.9033652124476244
"Tampa--St. Petersburg, FL",13.811007268951194,10.28368794326241,17.294350842418236,7.387508394895903,2.896179548366508
"Temple, TX",8.232118758434549,9.060402684563758,9.786354238456237,6.67172100075815,2.3886816838056086
"Terre Haute, IN",5.882352941176471,5.660377358490566,13.064133016627078,4.651162790697675,1.009214567792891
"Texarkana--Texarkana, TX",4.62046204620462,6.657963446475196,13.08562197092084,8.649093904448105,-1.9911304579729086
"Texas City, TX",15.796344647519582,10.395010395010395,17.697841726618705,7.285223367697594,3.1097870273128008
"Thousand Oaks, CA",10.585918266863613,9.161704076958314,8.804945054945055,6.799729364005413,2.361974712952901
"Toledo, OH",7.166666666666667,8.068783068783068,10.602409638554217,4.012841091492777,4.055941977290291
"Tulsa, OK",7.1022727272727275,6.904487917146145,7.244501940491591,4.624715693707354,2.2797722234387914
"Providence, RI",8.104886769964244,10.256410256410257,12.155963302752294,4.876741693461951,5.379668562948306
"Provo--Orem, UT",13.601741022850925,12.357414448669202,20.410868124585818,7.3638613861386135,4.993553062530588
"Pueblo, CO",10.69277108433735,6.804374240583232,15.14762516046213,6.688963210702341,0.11541102988089058
"Pensacola, FL",10.217113665389528,9.036144578313253,17.83100465735196,8.60655737704918,0.42958720126407357
"Peoria, IL",5.93900481540931,6.017925736235595,2.3346303501945527,5.162364696086595,0.8555610401490004
"Petaluma, CA",15.476904619076185,16.323119777158773,10.153846153846153,11.52037617554859,4.802743601610183
"Philadelphia, PA",8.969072164948454,7.618213660245184,7.804878048780488,3.249866808737347,4.368346851507837
"Phoenix--Mesa, AZ",16.701902748414376,12.934879571810884,17.358639778568605,7.768268597761685,5.166610974049198
"Huntington, WV",6.2157221206581355,5.034013605442177,3.585657370517928,3.4420289855072466,1.5919846199349306
"Huntsville, AL",11.350574712643677,9.154929577464788,9.87146529562982,4.646017699115045,4.5089118783497435
"Idaho Falls, ID",8.383233532934131,7.484662576687117,25.37746806039489,8.460236886632826,-0.975574309945709
"Houma, LA",6.428571428571429,6.730769230769231,3.293223559214693,4.3644716692189895,2.3662975615502413
"Houston, TX",9.447983014861995,7.699275362318841,13.199577613516368,7.472270869819031,0.2270044924998098
"Indio--Cathedral City, CA",11.320754716981131,11.255411255411255,10.822926673070766,8.134490238611713,3.1209210167995423
"Iowa City, IA",5.244755244755245,5.138746145940391,9.212962962962964,6.765983860955928,-1.6272377150155375
"Milwaukee, WI",7.364341085271318,6.866002214839424,10.531496062992126,4.04551201011378,2.820490204725645
"Minneapolis--St. Paul, MN",11.862745098039216,9.570661896243292,11.344211344211343,6.1671469740634,3.403514922179892
"Mission Viejo--Lake Forest--San Clemente, CA",11.072144288577155,9.299065420560748,10.066748399400627,6.154357950765136,3.1447074697956117
"Missoula, MT",11.011523687580025,12.325581395348838,14.828341855368883,3.807740324594257,8.517841070754582
"Mobile, AL",8.527131782945736,8.450704225352112,9.264931087289433,3.904923599320883,4.545780626031229
"Morgantown, WV",3.1335149863760217,3.329369797859691,4.418052256532066,6.853582554517134,-3.524212756657443
"Indianapolis, IN",9.126984126984127,8.038585209003216,14.894894894894895,5.538461538461538,2.5001236705416776
"Jackson, MI",7.608695652173913,8.40764331210191,13.598326359832637,5.646817248459959,2.760826063641952
"Jackson, MS",7.084468664850136,6.420021762785637,7.214428857715431,6.3209076175040515,0.09911414528158513
"Jackson, TN",4.967948717948718,4.109589041095891,10.648148148148149,2.8949545078577335,1.2146345332381574
"Jacksonville, FL",9.12087912087912,7.339449541284404,15.106052767718571,4.592901878914405,2.7465476623699994
"Jacksonville, NC",6.592039800995025,7.3245167853509665,2.71343481138319,-3.6319612590799033,10.95647804443087
"Janesville, WI",6.993006993006993,6.206088992974239,12.283136710617626,3.6947791164658637,2.5113098765083754
"Norman, OK",5.955678670360111,4.936854190585533,5.320994794679005,5.55956678700361,-0.6227125964180766
"North Port--Port Charlotte, FL",7.832618025751073,6.721162579473206,16.312849162011172,11.519607843137255,-4.798445263664049
"Newark, OH",8.64600326264274,5.170239596469105,13.12910284463895,5.099394987035437,0.0708446094336681
"New Bedford, MA",8.683473389355742,10.74766355140187,10.373760488176965,7.191780821917808,3.555882729484061
"Napa, CA",9.61898813241724,12.302284710017574,8.246597277822257,8.576998050682262,3.7252866593353122
"Juana Díaz, PR",0.273224043715847,6.431535269709544,1.735357917570499,2.6917900403768504,3.7397452293326934
"Kalamazoo, MI",8.806818181818182,9.84009840098401,13.639479095270733,6.106264869151467,3.733833531832543
"Kankakee, IL",3.3557046979865772,8.174692049272117,8.369098712446352,4.6999276934201015,3.474764355852016
"Kansas City, MO",10.909090909090908,9.577754891864057,15.964024732996066,6.275303643724697,3.30245124813936
"Johnson City, TN",7.241379310344827,9.217877094972067,5.647840531561462,3.8914027149321266,5.32647438003994
